Восточный,Единая Россия,Паляница Александр Юрьевич
Восточный,Единая Россия,Погорелов Владимир Васильевич
Восточный,СРЗП,Полтавцева Ирина Павловна
Выхино-Жулебино,КПРФ,Бедеров Алексей Михайлович
Выхино-Жулебино,Новые люди,Иванова Валентина Яковлевна
Выхино-Жулебино,СРЗП,Клоков Алексей Александрович
Выхино-Жулебино,Новые люди,Краснов Андрей Геннадьевич
Выхино-Жулебино,КПРФ,Леонтьев Александр Николаевич
Выхино-Жулебино,СРЗП,Малюков Александр Александрович
Выхино-Жулебино,КПРФ,Масленников Сергей Алексеевич
Выхино-Жулебино,Единая Россия,Назарова Надежда Геннадьевна
Выхино-Жулебино,Единая Россия,Силаева Ирина Владимировна
Выхино-Жулебино,Единая Россия,Смирнова Ольга Алексеевна
Выхино-Жулебино,Единая Россия,Троицкий Александр Витальевич
Выхино-Жулебино,Единая Россия,Халин Богдан Юрьевич
Выхино-Жулебино,КПРФ,Шульган Алена Викторовна
Выхино-Жулебино,КПРФ,Белоногова Екатерина Викторовна
Выхино-Жулебино,СРЗП,Быстрова Светлана Ренатовна
Выхино-Жулебино,Единая Россия,Гордеева Елена Михайловна
Выхино-Жулебино,КПРФ,Жмакин Антон Витальевич
Выхино-Жулебино,СРЗП,Казакевич Леонид Вячеславович
Выхино-Жулебино,Единая Россия,Кожухов Дмитрий Андреевич
Выхино-Жулебино,Единая Россия,Кудряшева Оксана Николаевна
Выхино-Жулебино,СРЗП,Курник Софья Владимировна
Выхино-Жулебино,КПРФ,Лисицина Полина Сергеевна
Выхино-Жулебино,Единая Россия,Ломаченко Александр Иванович
Выхино-Жулебино,Единая Россия,Николаева Антонина Ивановна
Выхино-Жулебино,Новые люди,Овакимян Дмитрий Алексеевич
Выхино-Жулебино,Новые люди,Ромашов Михаил Константинович
Выхино-Жулебино,Новые люди,Ромодин Леонид Александрович
Выхино-Жулебино,КПРФ,Салтовский Александр Викторович
Выхино-Жулебино,Новые люди,Сафронов Константин Сергеевич
Выхино-Жулебино,КПРФ,Филимонова Ксения Николаевна
Выхино-Жулебино,СРЗП,Береславская Надежда Степановна
Выхино-Жулебино,КПРФ,Бочков Михаил Вячеславович
Выхино-Жулебино,СРЗП,Бурыгин Юрий Николаевич
Выхино-Жулебино,КПРФ,Вышегородцева Ирина Владимировна
Выхино-Жулебино,СРЗП,Гвильдис Анастасия Олеговна
Выхино-Жулебино,СРЗП,Деянова Дарья Михайловна
Выхино-Жулебино,Единая Россия,Дьяков Артем Алексеевич
Выхино-Жулебино,КПРФ,Ильинский Дмитрий Владимирович
Выхино-Жулебино,Единая Россия,Калькова Нина Васильевна
Выхино-Жулебино,КПРФ,Кулаков Евгений Викторович
Выхино-Жулебино,Единая Россия,Миронова Ольга Викторовна
Выхино-Жулебино,КПРФ,Филиппова Ирина Сергеевна
Выхино-Жулебино,Единая Россия,Харланова Валентина Михайловна
Выхино-Жулебино,Единая Россия,Хоботова Светлана Викторовна
Выхино-Жулебино,СРЗП,Вакареско Александр Леонидович
Выхино-Жулебино,КПРФ,Гуреева Екатерина Александровна
Выхино-Жулебино,Единая Россия,Киселёв Фёдор Андреевич
Выхино-Жулебино,Единая Россия,Макарова Ольга Владимировна
Выхино-Жулебино,Единая Россия,Новикова Галина Вячеславовна
Выхино-Жулебино,Единая Россия,Орлова Екатерина Викторовна
Выхино-Жулебино,КПРФ,Пецух Николай Георгиевич
Выхино-Жулебино,КПРФ,Пищулина Галина Николаевна
Выхино-Жулебино,КПРФ,Потехин Ренат Юрьевич
Выхино-Жулебино,Новые люди,Ракитин Сергей Александрович
Выхино-Жулебино,СРЗП,Рубаев Аслан Владимирович
Выхино-Жулебино,Новые люди,Свиридова Маргарита Сергеевна
Выхино-Жулебино,Единая Россия,Сокольникас Вероника Юрьевна
Выхино-Жулебино,КПРФ,Трофимов Александр Вячеславович
Выхино-Жулебино,Новые люди,Филенкина Екатерина Ивановна
Выхино-Жулебино,Субъект выдвижения неизвестен,Катков Валерий Семёнович
Гагаринский,СРЗП,Ажеганов Александр Ефимович
Гагаринский,Единая Россия,Зыкова Наталия Юрьевна
Гагаринский,Единая Россия,Мозгалёва Анастасия Валентиновна
Гагаринский,Единая Россия,Черемин Александр Георгиевич
Гагаринский,СРЗП,Чирков Максим Андреевич
Гагаринский,Новые люди,Адамова Александра Арнольдовна
Гагаринский,КПРФ,Верин Александр Александрович
Гагаринский,Единая Россия,Конышев Павел Владимирович
Гагаринский,Новые люди,Кулаков Денис Сергеевич
Гагаринский,Яблоко,Лангар Артем Рахимуллович
Гагаринский,Единая Россия,Попова Людмила Борисовна
Гагаринский,Новые люди,Савина Ирина Александровна
Гагаринский,СРЗП,Сапогина Ксения Сергеевна
Гагаринский,Единая Россия,Смирнова Ольга Игоревна
Гагаринский,Самовыдвижение,Толкачев Григорий Олегович
Гагаринский,СРЗП,Чекалин Михаил Александрович
Гагаринский,Яблоко,Шагиахметова Эльмира Камильевна
Гагаринский,Яблоко,Давидович Ян Александрович
Гагаринский,Новые люди,Забелина Светлана Алексеевна
Гагаринский,СРЗП,Кощук Денис Романович
Гагаринский,Единая Россия,Олейник Ирина Владимировна
Гагаринский,Единая Россия,Орлова Елена Владиславовна
Гагаринский,Самовыдвижение,Русакова Елена Леонидовна
Гагаринский,КПРФ,Стрелков Денис Александрович
Гагаринский,Новые люди,Топорков Игорь Анатольевич
Гагаринский,Яблоко,Чумичев Дмитрий Александрович
Гагаринский,Единая Россия,Антонова Вера Николаевна
Гагаринский,Единая Россия,Дунаева Римма Валентиновна
Гагаринский,СРЗП,Клюйкова Александрина Васильевна
Гагаринский,Яблоко,Козлов Дмитрий Вячеславович
Гагаринский,Единая Россия,Монахов Дмитрий Львович
Гагаринский,Новые люди,Туманов Антон Александрович
Гагаринский,СРЗП,Хачатурян Артем Артурович
Гагаринский,Яблоко,Хрусталев Алексей Александрович
Гагаринский,Единая Россия,Шапунов Лев Ефимович
Гагаринский,Яблоко,Шомин Владимир Владимирович
Головинский,КПРФ,Анисимов Владислав Валерьевич
Головинский,СРЗП,Байбурин Альфред Рафаильевич
Головинский,Единая Россия,Борисова Елена Григорьевна
Головинский,Самовыдвижение,Зайцев Сергей Андреевич
Головинский,КПРФ,Киреева Мария Юрьевна
Головинский,Единая Россия,Кириллова Наталья Геннадьевна
Головинский,СРЗП,Макаров Александр Анатольевич
Головинский,КПРФ,Мусаев Шукюр Агамир Оглы
Головинский,Новые люди,Переседов Алексей Михайлович
Головинский,СРЗП,Пикалов Павел Владимирович
Головинский,СРЗП,Сайгин Денис Александрович
Головинский,Новые люди,Топадзе Диана Гелаевна
Головинский,Единая Россия,Чугунов Андрей Андреевич
Головинский,Единая Россия,Шептуха Вячеслав Владимирович
Головинский,Единая Россия,Яшина Татьяна Николаевна
Головинский,СРЗП,Анисимов Алексей Вячеславович
Головинский,КПРФ,Ахметзянов Ильдар Азатович
Головинский,Единая Россия,Береговая Татьяна Викторовна
Головинский,КПРФ,Бондарь Владимир Анатольевич
Головинский,Единая Россия,Горохова Евгения Игоревна
Головинский,СРЗП,Козлов Данила Алексеевич
Головинский,СРЗП,Колоколов Данила Григорьевич
Головинский,СРЗП,Лобойченко Павел Викторович
Головинский,Единая Россия,Мещеряков Михаил Александрович
Головинский,Новые люди,Павлов Кирилл Александрович
Головинский,КПРФ,Руковицын Евгений Анатольевич
Головинский,КПРФ,Рытченко Игорь Васильевич
Головинский,Единая Россия,Степочкина Надежда Владимировна
Головинский,Единая Россия,Столяров Сергей Николаевич
Головинский,СРЗП,Тренин Никита Сергеевич
Головинский,КПРФ,Бергетов Вячеслав Викторович
Головинский,Новые люди,Веселкина Анастасия Кирилловна
Головинский,СРЗП,Глухов Сергей Геннадьевич
Головинский,Единая Россия,Дворянцева Светлана Евгеньевна
Головинский,Единая Россия,Маслова Вера Владимировна
Головинский,Единая Россия,Матвиенко Татьяна Александровна
Головинский,СРЗП,Наумова Елена Александровна
Головинский,КПРФ,Новиков Александр Анатольевич
Головинский,Единая Россия,Погодина Екатерина Андреевна
Головинский,Единая Россия,Смирнова Ирина Юрьевна
Головинский,СРЗП,Фалалеев Виктор Геннадьевич
Гольяново,Единая Россия,Антонова Татьяна Неоновна
Гольяново,КПРФ,Бацаев Сергей Геннадьевич
Гольяново,Единая Россия,Джамалудинова Шекер Аскендеровна
Гольяново,КПРФ,Жадкевич Кирилл Витальевич
Гольяново,Единая Россия,Коптева Ирина Рудольфовна
Гольяново,КПРФ,Кузьминов Сергей Александрович
Гольяново,СРЗП,Неустроев Сергей Васильевич
Гольяново,КПРФ,Рожкова Анна Германовна
Гольяново,СРЗП,Семенов Антон Дмитриевич
Гольяново,Единая Россия,Фролов Константин Александрович
Гольяново,СРЗП,Ширшов Андрей Вячеславович
Гольяново,Единая Россия,Антипова Ольга Сергеевна
Гольяново,КПРФ,Гурциев Виталий Джумберович
Гольяново,Единая Россия,Краюшин Сергей Александрович
Гольяново,КПРФ,Купцов Дмитрий Викторович
Гольяново,СРЗП,Мельникова Наталья Евгеньевна
Гольяново,КПРФ,Митрофанов Дмитрий Владимирович
Гольяново,КПРФ,Мусаева Диана Владимировна
Гольяново,СРЗП,Телегин Сергей Юрьевич
Гольяново,Единая Россия,Четвертков Тимофей Михайлович
Гольяново,Единая Россия,Чупахина Галина Юрьевна
Гольяново,Единая Россия,Буканова Наталья Львовна
Гольяново,КПРФ,Гуляев Максим Владимирович
Гольяново,Единая Россия,Захаров Дмитрий Николаевич
Гольяново,СРЗП,Райвич Михаил Львович
Гольяново,КПРФ,Серикова Ольга Андреевна
Гольяново,Единая Россия,Скуба Марина Анатольевна
Гольяново,Единая Россия,Усова Марина Валерьевна
Гольяново,КПРФ,Цыганова Светлана Николаевна
Гольяново,Новые люди,Яхонин Юрий Николаевич
Троицк,Единая Россия,Веригина Наталия Алексеевна
Троицк,СРЗП,Герега Александр Инокентьевич
Троицк,КПРФ,Елисеева Оксана Владимировна
Троицк,СРЗП,Каракай Александр Евгеньевич
Троицк,КПРФ,Крандакова Ирина Александровна
Троицк,КПРФ,Крутько Ольга Владимировна
Троицк,Единая Россия,Павлова Оксана Эдуардовна
Троицк,КПРФ,Рахимов Руслан Рамилович
Троицк,Единая Россия,Рахманова Александра Игоревна
Троицк,Единая Россия,Савицкая Ирина Алексеевна
Троицк,Единая Россия,Соколов Павел Владимирович
Троицк,Новые люди,Тепляков Даниил Алексеевич
Троицк,СРЗП,Чобану Сабрина Алексеевна
Троицк,СРЗП,Яньшин Данила Дмитриевич
Троицк,Единая Россия,Антонова Ольга Феафановна
Троицк,КПРФ,Бабенко Татьяна Дмитриевна
Троицк,СРЗП,Башмур Владимир Александрович
Троицк,КПРФ,Демидов Игорь Анатольевич
Троицк,Единая Россия,Зюзикова Юлия Мардарьевна
Троицк,КПРФ,Крендзель Наталья Валерьевна
Троицк,КПРФ,Лёгостева Дарья Дмитриевна
Троицк,Единая Россия,Мальцева Наталия Юрьевна
Троицк,Единая Россия,Мосолова Ольга Святославовна
Троицк,СРЗП,Нурединов Магомед Джабраилович
Троицк,СРЗП,Руль Андрей Иванович
Троицк,Единая Россия,Терехин Андрей Станиславович
Троицк,Новые люди,Щербань Надежда Дмитриевна
Троицк,СРЗП,Ясинский Денис Владиславович
Троицк,Единая Россия,Бирюкова Татьяна Евгеньевна
Троицк,КПРФ,Вартанян Артур Арсенович
Троицк,Единая Россия,Грищук Инна Аргеновна
Троицк,Единая Россия,Клочков Владимир Петрович
Троицк,СРЗП,Коропец Владислав Владимирович
Троицк,СРЗП,Латышев Михаил Владимирович
Троицк,КПРФ,Луговенко Александра Игоревна
Троицк,СРЗП,Никоноров Сергей Михайлович
Троицк,Единая Россия,Пушков Максим Александрович
Троицк,КПРФ,Славкина Рада Владимировна
Троицк,Единая Россия,Шишонин Анатолий Юрьевич
Троицк,Единая Россия,Бланк Владимир Давыдович
Троицк,Самовыдвижение,Верещагина Елена Игоревна
Троицк,Единая Россия,Воробьев Андрей Александрович
Троицк,Единая Россия,Ерцев Алексей Анатольевич
Троицк,Единая Россия,Каравичев Олег Васильевич
Троицк,КПРФ,Классен Инна Викторовна
Троицк,СРЗП,Королева Наталья Леонидовна
Троицк,КПРФ,Луговенко Лариса Евгеньевна
Троицк,Яблоко,Петров Александр Александрович
Троицк,СРЗП,Поздняков Виталий Евгеньевич
Троицк,КПРФ,Прудников Дмитрий Юрьевич
Троицк,Единая Россия,Хаустова Елена Александровна
Троицк,Яблоко,Шабанов Арсений Игоревич
Троицк,Самовыдвижение,Махницкий Данил Павлович
Троицк,Самовыдвижение,Пыжов Олег Юрьевич
Даниловский,Единая Россия,Аркусов Дмитрий Юрьевич
Даниловский,КПРФ,Боголюбский Георгий Валентинович
Даниловский,СРЗП,Грачева Елизавета Романовна
Даниловский,СРЗП,Дубовский Сергей Феликсович
Даниловский,СРЗП,Иванова Юлия Андреевна
Даниловский,Единая Россия,Кирьянова Людмила Николаевна
Даниловский,Единая Россия,Левштанов Дмитрий Николаевич
Даниловский,КПРФ,Москалева Виктория Викторовна
Даниловский,СРЗП,Попова Александра Игоревна
Даниловский,Новые люди,Попова Евгения Юрьевна
Даниловский,КПРФ,Реутова Елена Вячеславовна
Даниловский,КПРФ,Солдаткин Иван Анатольевич
Даниловский,Единая Россия,Фадеева Инна Геннадьевна
Даниловский,Новые люди,Якимов Алексей Владимирович
Даниловский,СРЗП,Вишневская Анна Владимировна
Даниловский,СРЗП,Золотарева Анжелика Валерьевна
Даниловский,Единая Россия,Иванов Олег Игоревич
Даниловский,Единая Россия,Кондратьев Федор Витальевич
Даниловский,КПРФ,Кузнецов Вячеслав Леонидович
Даниловский,КПРФ,Курбанов Александр Курбанович
Даниловский,КПРФ,Лисин Николай Александрович
Даниловский,СРЗП,Никулин Кирилл Вячеславович
Даниловский,Единая Россия,Подольская Ольга Вячеславовна
Даниловский,Единая Россия,Сагаловская Надежда Викторовна
Даниловский,Новые люди,Ситников Иван Иванович
Даниловский,КПРФ,Солдаткина Марина Васильевна
Даниловский,СРЗП,Яковченко Оксана Петровна
Даниловский,Единая Россия,Аббасова Наталья Александровна
Даниловский,Единая Россия,Григорьева Людмила Васильевна
Даниловский,КПРФ,Груничев Кирилл Сергеевич
Даниловский,Единая Россия,Жданов Сергей Владимирович
Даниловский,КПРФ,Козаревская Надежда Альбертовна
Даниловский,КПРФ,Королев Владимир Сергеевич
Даниловский,КПРФ,Мамонтова Мария Юрьевна
Даниловский,СРЗП,Николас Анастасия Павловна
Даниловский,Единая Россия,Родионова Татьяна Вячеславовна
Даниловский,Новые люди,Султанов Владислав Геннадьевич
Даниловский,СРЗП,Тенькова Наталья Валентиновна
Даниловский,Яблоко,Чунарев Валерий Иванович
Дмитровский,Новые люди,Бочкова Светлана Николаевна
Дмитровский,Новые люди,Буленков Евгений Александрович
Дмитровский,Единая Россия,Буянов Евгений Валентинович
Дмитровский,КПРФ,Головня Вячеслав Анатольевич
Дмитровский,Единая Россия,Жигарев Владимир Леонидович
Дмитровский,СРЗП,Катков Андрей Владимирович
Дмитровский,Новые люди,Лебединец Александр Иванович
Дмитровский,СРЗП,Мазальская Ольга Дмитриевна
Дмитровский,КПРФ,Осипов Александр Александрович
Дмитровский,Единая Россия,Уханова Галина Юрьевна
Дмитровский,Единая Россия,Федоров Алексей Николаевич
Дмитровский,Новые люди,Федянин Дмитрий Викторович
Дмитровский,Единая Россия,Шалимов Геннадий Васильевич
Дмитровский,Единая Россия,Валова Инна Владимировна
Дмитровский,Единая Россия,Дуняшев Александр Олегович
Дмитровский,Единая Россия,Дюшаков Евгений Александрович
Дмитровский,КПРФ,Королев Константин Валерьевич
Дмитровский,Единая Россия,Семенышева Алла Борисовна
Дмитровский,СРЗП,Суворов Димитрий Юрьевич
Дмитровский,Единая Россия,Чугунов Александр Станиславович
Дмитровский,КПРФ,Яворовская Елена Викторовна
Дмитровский,Самовыдвижение,Востокова Валерия Николаевна
Дмитровский,Субъект выдвижения неизвестен,Панфилова Анна Леонидовна
Донской,КПРФ,Аверина Алена Дмитриевна
Донской,СРЗП,Азаров Сергей Николаевич
Донской,Единая Россия,Граськин Сергей Сергеевич
Донской,Единая Россия,Зайковская Галина Викторовна
Донской,Самовыдвижение,Залищак Владимир Борисович
Донской,КПРФ,Иванова Наталья Евгеньевна
Донской,Единая Россия,Кобцев Павел Николаевич
Донской,Новые люди,Колпенский Леонид Михайлович
Донской,КПРФ,Крыжановская Вероника Олеговна
Донской,КПРФ,Лихачев Клим Сергеевич
Донской,Новые люди,Михайлов Илья Александрович
Донской,КПРФ,Ромаева Юлия Александровна
Донской,Самовыдвижение,Рудяк Лев Борисович
Донской,Единая Россия,Скорлупкина Лариса Николаевна
Донской,Единая Россия,Фурсова Елена Даниловна
Донской,Новые люди,Громов Иван Иванович
Донской,КПРФ,Зорина Елизавета Геннадьевна
Донской,Единая Россия,Кабанова Татьяна Викторовна
Донской,Единая Россия,Костюшина Светлана Викторовна
Донской,КПРФ,Мейер Эдуард Романович
Донской,КПРФ,Мирошкин Алексей Николаевич
Донской,КПРФ,Основина Ольга Александровна
Донской,Единая Россия,Резков Владислав Валерьевич
Донской,Единая Россия,Седачева Юлия Владимировна
Донской,КПРФ,Чикалкина Мария Владимировна
Донской,Единая Россия,Шерстюк Элина Сергеевна
Дорогомилово,КПРФ,Андреева Татьяна Геннадиевна
Дорогомилово,Единая Россия,Антипов Дмитрий Станиславович
Дорогомилово,СРЗП,Беляев Артем Викторович
Дорогомилово,Единая Россия,Кнор Александр Климентьевич
Дорогомилово,Субъект выдвижения неизвестен,Луцишин Артур Васильевич
Дорогомилово,КПРФ,Марысаев Алексей Вадимович
Дорогомилово,Субъект выдвижения неизвестен,Раменский Павел Олегович
Дорогомилово,КПРФ,Сабитов Геннадий Зубяирович
Дорогомилово,Субъект выдвижения неизвестен,Цыбулькова Елена Юрьевна
Дорогомилово,Единая Россия,Чиркина Мария Александровна
Дорогомилово,Новые люди,Чопов Александр Викторович
Дорогомилово,КПРФ,Боженова Светлана Александровна
Дорогомилово,СРЗП,Дворкина Анастасия Николаевна
Дорогомилово,Субъект выдвижения неизвестен,Дрокин Сергей Александрович
Дорогомилово,КПРФ,Зубова Виталина Васильевна
Дорогомилово,Единая Россия,Косопанов Марк Александрович
Дорогомилово,Новые люди,Ларсанов Султан Ахмутович
Дорогомилово,Субъект выдвижения неизвестен,Овчинникова Ольга Александровна
Дорогомилово,КПРФ,Онищенко Елена Владимировна
Дорогомилово,Единая Россия,Помазкова Дарья Викторовна
Дорогомилово,Новые люди,Ромаданов Александр Алексеевич
Дорогомилово,Единая Россия,Тараканчикова Светлана Леонидовна
Дорогомилово,КПРФ,Алексеев Василий Николаевич
Дорогомилово,Новые люди,Долгополов Александр Александрович
Дорогомилово,Единая Россия,Зайшли Яна Вячеславовна
Дорогомилово,Единая Россия,Косенко Геннадий Николаевич
Дорогомилово,КПРФ,Крючков Олег Александрович
Дорогомилово,Новые люди,Лозан Кристиан Владимирович
Дорогомилово,Субъект выдвижения неизвестен,Минажетдинов Харис Саярович
Дорогомилово,Единая Россия,Сайфурова Маргарита Дмитриевна
Дорогомилово,КПРФ,Ульяненко Ирина Анатольевна
Дорогомилово,Единая Россия,Абрамова Татьяна Николаевна
Дорогомилово,Единая Россия,Акаев Темирлан Минакаевич
Дорогомилово,Единая Россия,Гурьева Валентина Андреевна
Дорогомилово,Новые люди,Жуков Алексей Альбертович
Дорогомилово,Субъект выдвижения неизвестен,Зыкина Мария Вячеславовна
Дорогомилово,Субъект выдвижения неизвестен,Ковалеров Станислав Николаевич
Дорогомилово,КПРФ,Новожилов Виталий Вадимович
Дорогомилово,Яблоко,Орпанен Игорь Сергеевич
Дорогомилово,КПРФ,Русанова Елена Борисовна
Дорогомилово,Субъект выдвижения неизвестен,Садовникова Жанна Витальевна
Дорогомилово,Новые люди,Трифонов Сергей Юрьевич
Дорогомилово,КПРФ,Шавлак Константин Викторович
Дорогомилово,Субъект выдвижения неизвестен,Куркина Екатерина Андреевна
Замоскворечье,Яблоко,Баранцев Виктор Сергеевич
Замоскворечье,Новые люди,Бибаева Татьяна Владимировна
Замоскворечье,СРЗП,Брумель Игорь Николаевич
Замоскворечье,Новые люди,Волчков Александр Борисович
Замоскворечье,Единая Россия,Гончарова Ольга Андреевна
Замоскворечье,Новые люди,Грушина Олеся Владимировна
Замоскворечье,СРЗП,Гуминский Кирилл Викторович
Замоскворечье,Новые люди,Дремина Наталья Валентиновна
Замоскворечье,Единая Россия,Захарова Ольга Владимировна
Замоскворечье,КПРФ,Климентьев Роман Валерьевич
Замоскворечье,Яблоко,Койниган Иан Юлианович
Замоскворечье,Единая Россия,Крутилин Максим Юрьевич
Замоскворечье,КПРФ,Кузнецов Владимир Сергеевич
Замоскворечье,Яблоко,Манихина Лилия Геннадьевна
Замоскворечье,Единая Россия,Меркулова Анастасия Сергеевна
Замоскворечье,Новые люди,Нечипорук Леся Васильевна
Замоскворечье,Единая Россия,Одиноков Эдуард Анатольевич
Замоскворечье,КПРФ,Силков Константин Павлович
Замоскворечье,СРЗП,Смольский Борис Борисович
Замоскворечье,Яблоко,Степанов Илья Данилович
Замоскворечье,КПРФ,Степанов Юрий Николаевич
Замоскворечье,Яблоко,Таций Егор Сергеевич
Замоскворечье,СРЗП,Цихелашвили Николай Шотаевич
Замоскворечье,Яблоко,Васильев Виктор Владимирович
Замоскворечье,Единая Россия,Востриков Андрей Викторович
Замоскворечье,КПРФ,Горбачева Татьяна Борисовна
Замоскворечье,Яблоко,Горностаев Дмитрий Андреевич
Замоскворечье,Единая Россия,Емельянов Павел Александрович
Замоскворечье,Яблоко,Иванов Владислав Владимирович
Замоскворечье,КПРФ,Кирилина Наталья Николаевна
Замоскворечье,КПРФ,Лукьянов Михаил Михайлович
Замоскворечье,СРЗП,Лясковский Владимир Леонидович
Замоскворечье,Единая Россия,Матвеев Николай Петрович
Замоскворечье,КПРФ,Матвеева Лора Владимировна
Замоскворечье,КПРФ,Минаева Алла Васильевна
Замоскворечье,Единая Россия,Миронова Оксана Александровна
Замоскворечье,Единая Россия,Молчанов Игорь Николаевич
Замоскворечье,Новые люди,Мотылев Артем Дмитриевич
Замоскворечье,Новые люди,Нагаец Иван Александрович
Замоскворечье,Новые люди,Никонов Сергей Сергеевич
Замоскворечье,СРЗП,Протасова Елена Александровна
Замоскворечье,Яблоко,Прудлик Ольга Игоревна
Замоскворечье,Яблоко,Хорошилов Василий Вадимович
Замоскворечье,Самовыдвижение,Давыдов Денис Евгеньевич
Западное Дегунино,Единая Россия,Абдулина Любовь Павловна
Западное Дегунино,СРЗП,Алейникова Виктория Викторовна
Западное Дегунино,Единая Россия,Герасимов Кирилл Дмитриевич
Западное Дегунино,Новые люди,Ершова Дарина Олеговна
Западное Дегунино,СРЗП,Жарова Сабина Вадимовна
Западное Дегунино,Единая Россия,Кондарева Оксана Витальевна
Западное Дегунино,Новые люди,Полякова Елена Михайловна
Западное Дегунино,Единая Россия,Прохорова Татьяна Анатольевна
Западное Дегунино,СРЗП,Растворов Василий Гаррьевич
Западное Дегунино,Новые люди,Романова Диана Игоревна
Западное Дегунино,Единая Россия,Федосеев Алексей Августович
Западное Дегунино,СРЗП,Фильчагина Ирина Федоровна
Западное Дегунино,Новые люди,Чевер Святослав Святославович
Западное Дегунино,Новые люди,Элисашвили Георгий Ираклиевич
Западное Дегунино,СРЗП,Банкина Любовь Алексеевна
Западное Дегунино,КПРФ,Зарва Артем Геннадьевич
Западное Дегунино,КПРФ,Захарецкая Наталья Анатольевна
Западное Дегунино,КПРФ,Зебрев Тимофей Андреевич
Западное Дегунино,Единая Россия,Козлов Дмитрий Валентинович
Западное Дегунино,СРЗП,Кондрикова Рушана Руфятовна
Западное Дегунино,Единая Россия,Кудряшова Ольга Святославовна
Западное Дегунино,Единая Россия,Мосякина Светлана Николаевна
Западное Дегунино,СРЗП,Наплеенкова Мария Николаевна
Западное Дегунино,Единая Россия,Николаева Татьяна Николаевна
Западное Дегунино,КПРФ,Роткова Анастасия Михайловна
Западное Дегунино,Единая Россия,Русавская Наталья Михайловна
Западное Дегунино,Самовыдвижение,Алёшин Пётр Николаевич
Западное Дегунино,Субъект выдвижения неизвестен,Лилуашвили Георгий Теймуразович
Зюзино,СРЗП,Аджиев Аскерхан Темирланович
Зюзино,Единая Россия,Высоцкая Ольга Николаевна
Зюзино,Новые люди,Гулам Памир Мохаммад
Зюзино,Самовыдвижение,Гурылев Борис Вячеславович
Зюзино,Единая Россия,Егорычева Валентина Сергеевна
Зюзино,Единая Россия,Зимина Светлана Николаевна
Зюзино,Самовыдвижение,Клыков Сергей Сергеевич
Зюзино,СРЗП,Кузьмин Алексей Юрьевич
Зюзино,СРЗП,Николаенко Анастасия Николаевна
Зюзино,Единая Россия,Рукавицын Павел Викторович
Зюзино,Самовыдвижение,Савенкова Мария
Зюзино,КПРФ,Сикач Максим Сергеевич
Зюзино,Самовыдвижение,Смирнов Михаил Михайлович
Зюзино,Новые люди,Хаюц Юлия Сергеевна
Зюзино,Единая Россия,Шатова Виктория Леонидовна
Зюзино,Самовыдвижение,Янкаускас Константинас Стасисович
Зюзино,КПРФ,Беляев Александр Артурович
Зюзино,Единая Россия,Владимирова Виктория Владимировна
Зюзино,КПРФ,Гаджиев Руфет Фикретович
Зюзино,Самовыдвижение,Горохов Антон Александрович
Зюзино,Единая Россия,Деревянко Ирина Геннадьевна
Зюзино,Единая Россия,Жданова Марина Аркадьевна
Зюзино,Единая Россия,Каменова Римма Харисовна
Зюзино,Яблоко,Магомедов Ахмед Гусенович
Зюзино,Яблоко,Максимовский Евгений Сергеевич
Зюзино,Единая Россия,Скороходова Лилия Олеговна
Зюзино,Самовыдвижение,Черкасов Алексей Георгиевич
Зюзино,КПРФ,Булаев Олег Олегович
Зюзино,Самовыдвижение,Замятин Александр Андреевич
Зюзино,Самовыдвижение,Иванов Михаил Сергеевич
Зюзино,КПРФ,Иваньков Александр Станиславович
Зюзино,КПРФ,Израилев Борис Владимирович
Зюзино,Единая Россия,Исхаков Александр Искандарович
Зюзино,Единая Россия,Колесникова Лариса Анатольевна
Зюзино,Единая Россия,Лапыко Ольга Алексеевна
Зюзино,Самовыдвижение,Маркарян Давид Георгиевич
Зюзино,Самовыдвижение,Нахаев Николай Сергеевич
Зюзино,Единая Россия,Раззакова Екатерина Андреевна
Зюзино,КПРФ,Сандаков Артём Валериевич
Зюзино,КПРФ,Спицын Егор Дмитриевич
Зюзино,Самовыдвижение,Черных Наталья Владимировна
Зюзино,Единая Россия,Яковлев Александр Иванович
Зябликово,Единая Россия,Анисимова Светлана Геннадьевна
Зябликово,КПРФ,Евглевский Александр Викторович
Зябликово,Новые люди,Жеволюкова Татьяна Валерьевна
Зябликово,КПРФ,Зарбалиев Гисмет Панах Оглы
Зябликово,Яблоко,Коротков Михаил Анатольевич
Зябликово,Новые люди,Максимов Александр Иванович
Зябликово,Единая Россия,Пушкин Павел Павлович
Зябликово,Единая Россия,Рафальская Ирина Владимировна
Зябликово,СРЗП,Сабитова Джамиля Равильевна
Зябликово,Единая Россия,Тиханова Альбина Викторовна
Зябликово,Единая Россия,Харитонова Алия Гафурджановна
Зябликово,КПРФ,Шведов-Виардо Дмитрий Александрович
Зябликово,КПРФ,Богомольников Эдгар Михайлович
Зябликово,Единая Россия,Воропаева Алла Викторовна
Зябликово,Единая Россия,Каляев Александр Вячеславович
Зябликово,Новые люди,Маликов Бронислав Михайлович
